model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,5.0,0.6041666666666666
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,7.0,0.47916666666666663
DeepSeek-V3.1,automation_DeepSeek-V3.1,1.0,0.8333333333333333
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,8.0,0.3392857142857143
GPT-5-Mini,automation_GPT-5-Mini,2.0,0.7232142857142857
GPT-O3-Mini,automation_GPT-O3-Mini,9.0,0.13392857142857142
GPT-O4-Mini,automation_GPT-O4-Mini,4.0,0.6071428571428572
GPT-OSS-120B,automation_GPT-OSS-120B,6.0,0.5178571428571428
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.0,0.6746031746031745
